,,,,,,,,,,,,,,,,,,,,,
Unfinished Right End(inner),599.40,319.40,599.40,319.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,11,WM-700X320X600-10,95,220236,r33b0095,,PO-0587,JK-70
Unfinished Back(Back),576.80,676.80,576.80,676.80,1,0,6MM BWR 22291+22291,,,,,KITCHEN,1,11,WM-700X320X600-10,96,220236,,,PO-0587,JK-71
Top,664.20,319.40,664.20,319.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,11,WM-700X320X600-10,97,220236,r33b0097,r33f0097,PO-0587,JK-72
Bottom(OHS),664.20,319.40,664.20,319.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,11,WM-700X320X600-10,98,220236,r33b0098,,PO-0587,JK-73
Adjustable Shelf,663.20,281.40,663.20,281.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,11,WM-700X320X600-10,99,220236,,,PO-0587,JK-74
Door Slab,595.00,345.00,595.00,345.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,11,WM-700X320X600-10,100,220236,r33b0100,,PO-0587,JK-75
Finished Left End(Outer),597.00,317.00,597.00,317.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,12,WM-600X320X600-11,102,220236,r33b0102,,PO-0587,JK-76
Unfinished Right End(inner),599.40,319.40,599.40,319.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,12,WM-600X320X600-11,103,220236,r33b0103,,PO-0587,JK-77
Unfinished Back(Back),576.80,576.60,576.80,576.60,1,0,6MM BWR 22291+22291,,,,,KITCHEN,1,12,WM-600X320X600-11,104,220236,,,PO-0587,JK-78
Top,564.00,319.40,564.00,319.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,12,WM-600X320X600-11,105,220236,r33b0105,r33f0105,PO-0587,JK-79
